ticker,name,報告日,決算日,year,month,positive_probability,negative_probability,gpt_positive,gpt_negative,industry_33,MDA_文字数,input_tokens_1,output_tokens_1
1301,株式会社極洋,2014-06-24,2014-03-31,2014,03,0.9983859,0.0016140844,0.6,0.4,50,4915,4817,10
1301,株式会社極洋,2015-06-24,2015-03-31,2015,03,0.99838555,0.0016144564,0.45,0.55,50,4741,4634,10
1301,株式会社極洋,2016-06-24,2016-03-31,2016,03,0.9983853,0.0016147378,0.45,0.55,50,4677,4645,10
1301,株式会社極洋,2017-06-27,2017-03-31,2017,03,0.9983829,0.001617024,0.6,0.4,50,4560,4533,10
1301,株式会社極洋,2018-06-26,2018-03-31,2018,03,0.9985245,0.0014755847,0.6,0.4,50,3705,3851,10
1301,株式会社極洋,2019-06-25,2019-03-31,2019,03,0.9959265,0.00407358,0.4,0.6,50,4050,4104,10
1301,株式会社極洋,2020-06-24,2020-03-31,2020,03,0.9410812,0.05891874,0.4,0.6,50,4054,4152,10
1301,株式会社極洋,2021-06-25,2021-03-31,2021,03,0.004471147,0.9955289,0.45,0.55,50,4176,4221,10
1301,株式会社極洋,2022-06-24,2022-03-31,2022,03,0.4137693,0.5862307,0.55,0.45,50,4222,4238,10
1301,株式会社極洋,2023-06-27,2023-03-31,2023,03,0.006693193,0.9933068,0.6,0.4,50,4301,4316,10
1301,株式会社極洋,2024-06-25,2024-03-31,2024,03,0.0062771533,0.99372286,0.6,0.4,50,4364,4319,10
1332,日本水産株式会社,2014-06-26,2014-03-31,2014,03,0.84588027,0.15411977,0.7,0.3,50,7632,7077,10
1332,日本水産株式会社,2015-06-25,2015-03-31,2015,03,0.8285616,0.17143834,0.7,0.3,50,8096,7473,10
1332,日本水産株式会社,2016-06-28,2016-03-31,2016,03,0.8285616,0.17143834,0.45,0.55,50,8144,7499,10
1332,日本水産株式会社,2017-06-28,2017-03-31,2017,03,0.8285616,0.17143834,0.6,0.4,50,8563,7783,10
1332,日本水産株式会社,2018-06-27,2018-03-31,2018,03,0.99852544,0.0014745999,0.6,0.4,50,5868,5566,10
1332,日本水産株式会社,2019-06-26,2019-03-31,2019,03,0.998497,0.0015030254,0.45,0.55,50,6002,5711,10
1332,日本水産株式会社,2020-06-25,2020-03-31,2020,03,0.004501323,0.9954986,0.4,0.6,50,6589,6054,10
1332,日本水産株式会社,2021-06-25,2021-03-31,2021,03,0.0052684136,0.99473155,0.4,0.6,50,6558,6067,10
1332,日本水産株式会社,2022-06-28,2022-03-31,2022,03,0.9985259,0.0014741592,0.6,0.4,50,6054,5610,10
1332,株式会社ニッスイ(旧会社名日本水産株式会社),2023-06-28,2023-03-31,2023,03,0.998505,0.0014949867,0.6,0.4,50,6799,6225,10
1332,株式会社ニッスイ,2024-06-26,2024-03-31,2024,03,0.39856416,0.60143584,0.7,0.3,50,6401,5862,10
1333,マルハニチロ株式会社,2015-06-25,2015-03-31,2015,03,0.9985247,0.0014752953,0.6,0.4,50,4609,4590,10
1333,マルハニチロ株式会社,2016-06-28,2016-03-31,2016,03,0.99852633,0.0014736371,0.7,0.3,50,4628,4597,10
1333,マルハニチロ株式会社,2017-06-28,2017-03-31,2017,03,0.39964244,0.6003576,0.6,0.4,50,4764,4659,10
1333,マルハニチロ株式会社,2018-06-27,2018-03-31,2018,03,0.9971789,0.0028211086,0.7,0.3,50,4818,4682,10
1333,マルハニチロ株式会社,2019-06-26,2019-03-31,2019,03,0.9984011,0.0015988415,0.4,0.6,50,5001,4782,10
